year,month,day_of_week,hour,temperature,humidity,wind_speed,weather_condition,weather_encoded,latitude,longitude,distance_km,ride_demand,zone_cluster
2025,2,6,13,25.646414185558307,52.51589254413516,21.21038321048903,Clear,0,17.49617021437308,78.30247190655317,19.24726527899038,5,0
2023,5,2,11,18.95744407782678,38.37821289766968,13.410087771877096,Rainy,2,17.46109324769156,78.31425846567765,14.835152799028476,16,0
2025,6,1,1,26.809794981941465,42.63501321771596,16.225128689879426,Clear,0,17.503764298617597,78.4399422870977,28.395028138366698,6,0
2025,4,0,12,20.8680305318916,74.50064757889996,5.076220252622471,Clear,0,17.406829536015707,78.5618332665616,11.707021954345,10,1
2023,3,5,0,25.69720799540339,38.8520603435738,18.418977253161284,Clear,0,17.361583335975308,78.59933661383361,21.954025892920416,8,1
2023,7,3,19,35.405513115981506,43.37680229601126,20.96029306600338,Clear,0,17.36082744454376,78.32801814519969,20.43331401317669,27,2
2025,2,0,6,31.78001557848648,55.47315917240947,14.84344365466041,Rainy,2,17.480258764012017,78.30550258768686,20.633621943763785,15,0
2024,11,4,8,27.7988237113252,34.32674584124778,2.8918615593549557,Cloudy,1,17.34928842769743,78.36863097662962,20.63684811507633,25,1
2025,6,3,16,20.02033277281353,42.76152364620779,7.821433907798575,Cloudy,1,17.41915015169186,78.44024107235268,1.3023925806284906,6,1
2025,4,2,20,31.621292504924128,38.9860876404742,11.88786627528225,Clear,0,17.363849822832815,78.47153877352662,24.9047592836357,36,2
2025,6,3,22,21.60161235519911,87.07930697471042,16.929059785070855,Cloudy,1,17.498828115418686,78.59204547354624,27.765664430169164,5,0
2025,4,5,12,19.68489956495553,41.49155313269335,8.008177696630636,Rainy,2,17.484626251633912,78.56653910760645,14.031132180226368,24,2
2023,4,6,22,32.60791238411137,81.70618261022362,21.007276283477854,Cloudy,1,17.41433749003326,78.46862960918676,17.254025219674144,10,1
2025,4,1,9,38.06531775206216,36.8878914759965,9.294744784135087,Clear,0,17.338615255860354,78.40851415302899,10.416754300579974,33,2
2024,9,5,15,28.13305560895149,82.18038793815043,1.0709086986740195,Cloudy,1,17.363545044334003,78.39638913557928,23.767091259185392,10,1
2023,7,6,5,18.90191003337851,65.96602717640818,19.84986041674588,Cloudy,1,17.4416627176407,78.47178740165819,22.36143830858301,13,1
2024,3,5,15,37.3665497832079,80.98235539347706,16.10557923777603,Clear,0,17.591624727330252,78.51640585237456,22.416529395559756,13,0
2024,3,1,10,19.47342285471863,82.04092131224145,20.04891236826744,Clear,0,17.381232428451263,78.44449974702383,22.312762537360385,31,2
2024,6,3,19,37.08529133943492,65.78241184004455,8.722245331672337,Clear,0,17.357357107071767,78.39131963390716,7.337772920540189,39,2
2024,6,4,2,26.620026210904484,85.06164920370145,0.4407548038161457,Rainy,2,17.36620502547301,78.48394960738187,4.263160864126717,13,1
2023,4,1,8,26.03867984970797,65.12689748907738,1.843823091445698,Clear,0,17.512441740850388,78.46738259449907,10.011873158891888,30,2
2023,9,1,14,29.94154234804194,72.75390467270252,2.7950195175206805,Clear,0,17.574405249618657,78.4282105025922,17.685998543058336,11,0
2024,4,6,12,39.05586598377282,54.96482863012996,20.12868945389254,Cloudy,1,17.322551487175776,78.5245067364736,12.586177731526352,14,1
2024,9,2,9,37.77229199189152,84.84406166825924,7.535868859003933,Cloudy,1,17.524786562471366,78.38466634167878,8.228129251817188,40,2
2023,4,3,19,28.34726194270488,79.4497523347216,24.94746273556157,Rainy,2,17.44838200389785,78.44547750047084,1.6463742520840157,35,2
2023,2,1,23,33.30811108252401,40.00278669701565,18.95970991242213,Clear,0,17.547557140010394,78.58210185772121,4.512860470030525,5,0
2023,2,4,12,30.76944355155507,64.58327101228193,15.028873827255795,Cloudy,1,17.426451596831228,78.51684860621029,4.054625020809711,6,1
2025,5,0,16,33.256154739389686,83.80963974521678,24.59048529991062,Clear,0,17.30156487550304,78.41639156781689,28.74253760640349,7,1
2025,4,3,6,36.245204121366136,77.58386961953705,7.907729707912948,Clear,0,17.504838913018872,78.46385331980602,23.5859239415844,5,0
2025,7,2,5,18.758864235109066,87.7531668396795,4.140389228029279,Clear,0,17.542391429446194,78.42164456915373,4.559803962380098,9,0
2024,11,5,12,25.166716786413744,43.87810121685568,18.43182424128288,Cloudy,1,17.570606328245947,78.33376440503434,14.549108534650808,9,0
2025,5,1,16,39.10524038114508,52.04757798782868,6.952084469741041,Cloudy,1,17.47071538672851,78.40048116034262,19.980096020295296,10,0
2024,6,4,14,38.885398787548326,60.431513281087874,24.02592320166893,Clear,0,17.336614550372943,78.5581329405101,28.869970186994895,11,1
2024,10,3,3,18.24685957950417,43.9601502016359,24.701732806254277,Clear,0,17.41095039326767,78.43836059873284,8.799953568093084,14,1
2025,4,4,14,22.431682858292056,53.64271531132914,23.160109875633843,Cloudy,1,17.535275073536337,78.47539125014548,8.657355264337882,13,0
2024,12,4,13,39.86294093157598,62.25235226545995,23.619044072738618,Clear,0,17.448323889664405,78.3544340278029,17.47947189254225,11,1
2025,2,6,20,28.84215166978869,41.48035218008044,15.391370435409,Clear,0,17.509773346454153,78.40686939768742,25.86395717395182,34,2
2025,10,5,10,30.60305208727076,45.40126912215484,17.30296623921575,Clear,0,17.30140690500764,78.57876149546829,9.109014165229782,33,2
2023,9,2,23,21.661244081493955,37.49054998852767,2.35615394431736,Clear,0,17.32190070192123,78.39427364861793,4.648931968822317,6,1
2025,10,3,3,37.67538339268765,72.80288459314491,19.07625399321722,Clear,0,17.504349085534592,78.37516831950914,8.71777484452095,10,0
2023,7,1,2,23.087814592280484,51.69311559216799,5.051584076922361,Cloudy,1,17.387060564281796,78.31676994506515,14.022951204489589,9,1
2025,4,2,1,22.17224786042981,43.215969191027305,21.00815149260957,Clear,0,17.41645600631237,78.32916924550436,11.43864588586717,10,1
2025,3,1,19,23.018692873047225,60.43944895085715,24.038295515275035,Rainy,2,17.492639873532347,78.47543680142577,25.97517669227984,40,2
2023,10,0,9,38.23167745810219,34.09495834111486,5.309440729136833,Cloudy,1,17.33360434807903,78.49800983963476,28.345418567382488,21,1
2023,3,4,12,33.462627557890684,85.40439637910369,1.950777940140533,Clear,0,17.549812506587187,78.4924741439183,11.975046215875825,9,0
2025,9,0,19,34.90912067878605,47.66805126943586,12.097253481697246,Cloudy,1,17.343330278048956,78.46194879686051,24.87921780079905,33,2
2024,5,6,20,26.29479988005356,83.18786089103173,19.788734298707727,Clear,0,17.51998476321538,78.44729138928885,2.98972776816408,26,2
2023,3,4,22,38.001894328472346,59.85720391947882,19.26600424858807,Cloudy,1,17.387825410713187,78.3216422752835,17.05739612687243,7,1
2024,5,5,17,35.366974951466574,81.00902986263844,17.420462641414606,Cloudy,1,17.377991289839507,78.55220859938704,25.119406616945287,32,2
2024,2,2,20,34.51314197516106,44.82386644737867,20.517399755868528,Rainy,2,17.546379409695465,78.45392422766194,13.140074093294144,43,2
2024,11,1,15,39.36068624080494,40.51623613456518,4.374708814878817,Rainy,2,17.46566052387601,78.33957440079514,5.159581238146483,13,0
2023,4,6,10,26.056330277453668,80.9647081940897,16.298443947148648,Clear,0,17.36164933549247,78.34075483672147,9.23861213329647,39,2
2024,10,5,9,31.441420229509387,42.77543294230266,15.141982897441244,Cloudy,1,17.300763875273397,78.45388695650958,15.265321356303875,28,1
2023,2,1,8,38.01845337749876,74.77172095797481,3.835793093992329,Clear,0,17.591910463819943,78.37337298014572,25.46142303374412,40,2
2024,2,2,11,35.39955675009095,50.67502767957794,10.360676765963692,Rainy,2,17.42941585673678,78.57658949401912,22.70932088481952,14,1
2025,12,3,18,30.39433708096353,74.89162358610969,21.31324298273869,Clear,0,17.41922683846756,78.44968467930978,3.4236906354982466,28,2
2025,8,6,0,19.676701065164373,84.45877595929981,24.295045101204,Cloudy,1,17.31509437586536,78.59352555661665,16.8385629800972,12,1
2023,1,0,17,32.35991567022481,88.89830587723759,16.635754439433796,Clear,0,17.56832104080529,78.52024761055785,26.2981728170643,29,2
2025,7,0,13,29.584222251092747,51.588568636118005,23.04852604965611,Clear,0,17.342176308781156,78.54320966687317,17.73619691550588,13,1
2025,5,1,21,22.05197015266178,52.05155007843277,3.301230764585433,Clear,0,17.400636713482942,78.41666362865034,2.883189123896996,14,1
2024,11,1,20,37.40956871353714,88.88326420709127,24.37651314107368,Clear,0,17.42633116849574,78.340206233889,24.870489113848254,34,2
2023,8,1,0,25.551469087772357,81.6916878178823,0.8376624795178367,Clear,0,17.543031724634023,78.50690889924732,27.29632122974442,5,0
2024,1,6,16,26.524557657380534,32.705518314682685,13.181481836777536,Clear,0,17.407839989642216,78.42212136025711,12.286479566518077,11,1
2024,11,2,10,32.79283407352104,64.40699917359123,7.275208236770478,Clear,0,17.459438762705844,78.58466455462398,9.993969387262377,25,2
2024,7,3,19,28.753572324907303,40.8746862929063,20.347727669620237,Clear,0,17.428619440892472,78.35808967266307,16.757168375806263,32,2
2024,5,0,14,19.96418367814129,89.64075216559311,5.438590802437767,Clear,0,17.3935534085389,78.48795103451326,29.5385541918078,12,1
2024,4,5,3,26.523715581815164,38.33538074225842,0.2882509183284698,Clear,0,17.583890925472687,78.55981835449909,25.28646344338385,10,0
2024,7,4,14,20.07825459464113,63.56085675257199,10.36523648090483,Rainy,2,17.539063043247953,78.42084871483416,24.520617975856347,21,0
